"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"76"	"False"	""	"GO:0016722"	"IntermediateAnnotation"	"oxidoreductase activity, acting on metal ions"	"GOAnnotation"	"1"	"1"	"7"	"14"
"77"	"False"	""	"GO:0016491"	"IntermediateAnnotation"	"oxidoreductase activity"	"GOAnnotation"	"2"	"2"	"141"	"1"
"78"	"False"	""	"GO:0003824"	"IntermediateAnnotation"	"catalytic activity"	"GOAnnotation"	"36"	"36"	"1472"	"2"
"79"	"False"	""	"GO:0004602"	"LeafAnnotation"	"glutathione peroxidase activity"	"GOAnnotation"	"1"	"1"	"6"	"17"
"80"	"False"	""	"GO:0004601"	"IntermediateAnnotation"	"peroxidase activity"	"GOAnnotation"	"1"	"1"	"16"	"6"
"81"	"False"	""	"GO:0016209"	"IntermediateAnnotation"	"antioxidant activity"	"GOAnnotation"	"6"	"6"	"28"	"21"
"82"	"False"	""	"GO:0016684"	"IntermediateAnnotation"	"oxidoreductase activity, acting on peroxide as acceptor"	"GOAnnotation"	"1"	"1"	"16"	"6"
"83"	"False"	""	"GO:0098869"	"IntermediateAnnotation"	"cellular oxidant detoxification"	"GOAnnotation"	"8"	"8"	"33"	"24"
"84"	"False"	""	"GO:1990748"	"IntermediateAnnotation"	"cellular detoxification"	"GOAnnotation"	"8"	"8"	"48"	"17"
"85"	"False"	""	"GO:0098754"	"IntermediateAnnotation"	"detoxification"	"GOAnnotation"	"8"	"8"	"63"	"13"
"86"	"False"	""	"GO:0097237"	"IntermediateAnnotation"	"cellular response to toxic substance"	"GOAnnotation"	"8"	"8"	"52"	"15"
"87"	"False"	""	"GO:0009636"	"IntermediateAnnotation"	"response to toxic substance"	"GOAnnotation"	"9"	"9"	"110"	"8"
"88"	"False"	""	"GO:0070887"	"IntermediateAnnotation"	"cellular response to chemical stimulus"	"GOAnnotation"	"23"	"23"	"954"	"2"
"89"	"False"	""	"GO:0042221"	"IntermediateAnnotation"	"response to chemical"	"GOAnnotation"	"41"	"42"	"1982"	"2"
"90"	"False"	""	"GO:0005507"	"IntermediateAnnotation"	"copper ion binding"	"GOAnnotation"	"4"	"4"	"30"	"13"
"91"	"False"	""	"GO:0046914"	"IntermediateAnnotation"	"transition metal ion binding"	"GOAnnotation"	"9"	"9"	"258"	"3"
"92"	"False"	""	"GO:0046872"	"IntermediateAnnotation"	"metal ion binding"	"GOAnnotation"	"36"	"36"	"1182"	"3"
"93"	"False"	""	"GO:0043169"	"IntermediateAnnotation"	"cation binding"	"GOAnnotation"	"40"	"40"	"1239"	"3"
"94"	"False"	""	"GO:0043167"	"IntermediateAnnotation"	"ion binding"	"GOAnnotation"	"45"	"45"	"1837"	"2"
"95"	"False"	""	"GO:0036094"	"IntermediateAnnotation"	"small molecule binding"	"GOAnnotation"	"52"	"52"	"1918"	"3"
"96"	"False"	""	"GO:0005788"	"IntermediateAnnotation"	"endoplasmic reticulum lumen"	"GOAnnotation"	"30"	"30"	"142"	"21"
"97"	"False"	""	"GO:0070013"	"IntermediateAnnotation"	"intracellular organelle lumen"	"GOAnnotation"	"64"	"64"	"1185"	"5"
"98"	"False"	""	"GO:0005783"	"IntermediateAnnotation"	"endoplasmic reticulum"	"GOAnnotation"	"41"	"41"	"823"	"5"
"99"	"False"	""	"GO:0043233"	"IntermediateAnnotation"	"organelle lumen"	"GOAnnotation"	"64"	"64"	"1185"	"5"
"100"	"False"	""	"GO:0043229"	"IntermediateAnnotation"	"intracellular organelle"	"GOAnnotation"	"86"	"86"	"3434"	"3"
"101"	"False"	""	"GO:0043231"	"IntermediateAnnotation"	"intracellular membrane-bounded organelle"	"GOAnnotation"	"85"	"85"	"3147"	"3"
"102"	"False"	""	"GO:0005737"	"IntermediateAnnotation"	"cytoplasm"	"GOAnnotation"	"88"	"88"	"3743"	"2"
"103"	"False"	""	"GO:0012505"	"IntermediateAnnotation"	"endomembrane system"	"GOAnnotation"	"74"	"74"	"2166"	"3"
"104"	"False"	""	"GO:0031974"	"IntermediateAnnotation"	"membrane-enclosed lumen"	"GOAnnotation"	"64"	"64"	"1185"	"5"
"105"	"False"	""	"GO:0043226"	"IntermediateAnnotation"	"organelle"	"GOAnnotation"	"87"	"87"	"3627"	"2"
"106"	"False"	""	"GO:0005622"	"IntermediateAnnotation"	"intracellular anatomical structure"	"GOAnnotation"	"90"	"90"	"3912"	"2"
"107"	"False"	""	"GO:0043227"	"IntermediateAnnotation"	"membrane-bounded organelle"	"GOAnnotation"	"85"	"85"	"3313"	"3"
"108"	"False"	""	"GO:0006826"	"IntermediateAnnotation"	"iron ion transport"	"GOAnnotation"	"3"	"3"	"40"	"8"
"109"	"False"	""	"GO:0000041"	"IntermediateAnnotation"	"transition metal ion transport"	"GOAnnotation"	"3"	"3"	"70"	"4"
"110"	"False"	""	"GO:0030001"	"IntermediateAnnotation"	"metal ion transport"	"GOAnnotation"	"4"	"4"	"543"	"1"
"111"	"False"	""	"GO:0006812"	"IntermediateAnnotation"	"monoatomic cation transport"	"GOAnnotation"	"4"	"4"	"640"	"1"
"112"	"False"	""	"GO:0006811"	"IntermediateAnnotation"	"monoatomic ion transport"	"GOAnnotation"	"5"	"5"	"779"	"1"
"113"	"False"	""	"GO:0006810"	"IntermediateAnnotation"	"transport"	"GOAnnotation"	"44"	"44"	"2026"	"2"
"114"	"False"	""	"GO:0051234"	"IntermediateAnnotation"	"establishment of localization"	"GOAnnotation"	"44"	"44"	"2107"	"2"
"115"	"False"	""	"GO:0051179"	"IntermediateAnnotation"	"localization"	"GOAnnotation"	"45"	"45"	"2342"	"2"
"116"	"False"	""	"GO:0006878"	"IntermediateAnnotation"	"intracellular copper ion homeostasis"	"GOAnnotation"	"1"	"1"	"11"	"9"
"117"	"False"	""	"GO:0030003"	"IntermediateAnnotation"	"intracellular monoatomic cation homeostasis"	"GOAnnotation"	"7"	"7"	"263"	"3"
"118"	"False"	""	"GO:0055070"	"IntermediateAnnotation"	"copper ion homeostasis"	"GOAnnotation"	"1"	"1"	"12"	"8"
"119"	"False"	""	"GO:0006873"	"IntermediateAnnotation"	"intracellular monoatomic ion homeostasis"	"GOAnnotation"	"7"	"7"	"271"	"3"
"120"	"False"	""	"GO:0055080"	"IntermediateAnnotation"	"monoatomic cation homeostasis"	"GOAnnotation"	"8"	"8"	"318"	"3"
"121"	"False"	""	"GO:0098771"	"IntermediateAnnotation"	"inorganic ion homeostasis"	"GOAnnotation"	"6"	"6"	"272"	"2"
"122"	"False"	""	"GO:0050801"	"IntermediateAnnotation"	"monoatomic ion homeostasis"	"GOAnnotation"	"8"	"8"	"325"	"2"
"123"	"False"	""	"GO:0055082"	"IntermediateAnnotation"	"intracellular chemical homeostasis"	"GOAnnotation"	"7"	"7"	"335"	"2"
"124"	"False"	""	"GO:0048878"	"IntermediateAnnotation"	"chemical homeostasis"	"GOAnnotation"	"19"	"19"	"517"	"4"
"125"	"False"	""	"GO:0019725"	"IntermediateAnnotation"	"cellular homeostasis"	"GOAnnotation"	"9"	"9"	"395"	"2"
"126"	"False"	""	"GO:0042592"	"IntermediateAnnotation"	"homeostatic process"	"GOAnnotation"	"23"	"23"	"779"	"3"
"127"	"False"	""	"GO:0006879"	"IntermediateAnnotation"	"intracellular iron ion homeostasis"	"GOAnnotation"	"3"	"3"	"40"	"8"
"128"	"False"	""	"GO:0047066"	"LeafAnnotation"	"phospholipid-hydroperoxide glutathione peroxidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"129"	"False"	""	"GO:0051087"	"IntermediateAnnotation"	"protein-folding chaperone binding"	"GOAnnotation"	"6"	"6"	"46"	"13"
"130"	"False"	""	"Pf00042"	"LeafAnnotation"	"Globin"	"Pfam"	"2"	"2"	"2"	"100"
"131"	"False"	""	"GO:0005344"	"LeafAnnotation"	"oxygen carrier activity"	"GOAnnotation"	"2"	"2"	"3"	"67"
"132"	"False"	""	"GO:0140104"	"IntermediateAnnotation"	"molecular carrier activity"	"GOAnnotation"	"4"	"4"	"14"	"29"
"133"	"False"	""	"GO:0015671"	"IntermediateAnnotation"	"oxygen transport"	"GOAnnotation"	"2"	"2"	"3"	"67"
"134"	"False"	""	"GO:0015669"	"IntermediateAnnotation"	"gas transport"	"GOAnnotation"	"2"	"2"	"10"	"20"
"135"	"False"	""	"GO:0005506"	"IntermediateAnnotation"	"iron ion binding"	"GOAnnotation"	"2"	"2"	"31"	"6"
"136"	"False"	""	"GO:0005829"	"IntermediateAnnotation"	"cytosol"	"GOAnnotation"	"19"	"19"	"1691"	"1"
"137"	"False"	""	"GO:0005833"	"LeafAnnotation"	"hemoglobin complex"	"GOAnnotation"	"2"	"2"	"2"	"100"
"138"	"False"	""	"GO:0015670"	"IntermediateAnnotation"	"carbon dioxide transport"	"GOAnnotation"	"2"	"2"	"9"	"22"
"139"	"False"	""	"GO:0019755"	"IntermediateAnnotation"	"one-carbon compound transport"	"GOAnnotation"	"2"	"2"	"20"	"10"
"140"	"False"	""	"GO:0019825"	"LeafAnnotation"	"oxygen binding"	"GOAnnotation"	"2"	"2"	"5"	"40"
"141"	"False"	""	"GO:0020037"	"LeafAnnotation"	"heme binding"	"GOAnnotation"	"4"	"4"	"44"	"9"
"142"	"False"	""	"GO:0046906"	"IntermediateAnnotation"	"tetrapyrrole binding"	"GOAnnotation"	"4"	"4"	"50"	"8"
"143"	"False"	""	"GO:0097159"	"IntermediateAnnotation"	"organic cyclic compound binding"	"GOAnnotation"	"18"	"18"	"1061"	"2"
"144"	"False"	""	"GO:0030185"	"IntermediateAnnotation"	"nitric oxide transport"	"GOAnnotation"	"2"	"2"	"3"	"67"
"145"	"False"	""	"GO:0071705"	"IntermediateAnnotation"	"nitrogen compound transport"	"GOAnnotation"	"14"	"14"	"738"	"2"
"146"	"False"	""	"GO:0031838"	"LeafAnnotation"	"haptoglobin-hemoglobin complex"	"GOAnnotation"	"3"	"3"	"3"	"100"
"147"	"False"	""	"GO:0042542"	"IntermediateAnnotation"	"response to hydrogen peroxide"	"GOAnnotation"	"3"	"3"	"37"	"8"
"148"	"False"	""	"GO:0000302"	"IntermediateAnnotation"	"response to reactive oxygen species"	"GOAnnotation"	"6"	"6"	"71"	"8"
"149"	"False"	""	"GO:0006979"	"IntermediateAnnotation"	"response to oxidative stress"	"GOAnnotation"	"8"	"8"	"139"	"6"
"150"	"False"	""	"GO:1901700"	"IntermediateAnnotation"	"response to oxygen-containing compound"	"GOAnnotation"	"20"	"20"	"789"	"3"
"151"	"False"	""	"GO:0042744"	"IntermediateAnnotation"	"hydrogen peroxide catabolic process"	"GOAnnotation"	"3"	"3"	"12"	"25"
"152"	"False"	""	"GO:0009056"	"IntermediateAnnotation"	"catabolic process"	"GOAnnotation"	"16"	"16"	"527"	"3"
"153"	"False"	""	"GO:0042743"	"IntermediateAnnotation"	"hydrogen peroxide metabolic process"	"GOAnnotation"	"3"	"3"	"21"	"14"
"154"	"False"	""	"GO:0008152"	"IntermediateAnnotation"	"metabolic process"	"GOAnnotation"	"75"	"75"	"1792"	"4"
"155"	"False"	""	"GO:0072593"	"IntermediateAnnotation"	"reactive oxygen species metabolic process"	"GOAnnotation"	"3"	"3"	"44"	"7"
"156"	"False"	""	"GO:0043177"	"IntermediateAnnotation"	"organic acid binding"	"GOAnnotation"	"6"	"6"	"79"	"8"
"157"	"False"	""	"GO:0071682"	"IntermediateAnnotation"	"endocytic vesicle lumen"	"GOAnnotation"	"7"	"7"	"16"	"44"
"158"	"False"	""	"GO:0030139"	"IntermediateAnnotation"	"endocytic vesicle"	"GOAnnotation"	"12"	"12"	"278"	"4"
"159"	"False"	""	"GO:0031410"	"IntermediateAnnotation"	"cytoplasmic vesicle"	"GOAnnotation"	"55"	"55"	"1517"	"4"
"160"	"False"	""	"GO:0097708"	"IntermediateAnnotation"	"intracellular vesicle"	"GOAnnotation"	"55"	"55"	"1522"	"4"
"161"	"False"	""	"GO:0031982"	"IntermediateAnnotation"	"vesicle"	"GOAnnotation"	"56"	"56"	"1575"	"4"
"162"	"False"	""	"Pf01299"	"LeafAnnotation"	"Lysosome-associated membrane glycoprotein 2-like, luminal domains"	"Pfam"	"2"	"2"	"5"	"40"
"163"	"False"	""	"Pf21222"	"LeafAnnotation"	"Lysosome-associated membrane glycoprotein 2, transmembrane segment"	"Pfam"	"2"	"2"	"2"	"100"
"164"	"False"	""	"GO:0000421"	"IntermediateAnnotation"	"autophagosome membrane"	"GOAnnotation"	"2"	"2"	"29"	"7"
"165"	"False"	""	"GO:0005774"	"IntermediateAnnotation"	"vacuolar membrane"	"GOAnnotation"	"4"	"4"	"275"	"1"
"166"	"False"	""	"GO:0005776"	"IntermediateAnnotation"	"autophagosome"	"GOAnnotation"	"3"	"3"	"50"	"6"
"167"	"False"	""	"GO:0098588"	"IntermediateAnnotation"	"bounding membrane of organelle"	"GOAnnotation"	"14"	"14"	"1181"	"1"
"168"	"False"	""	"GO:0005773"	"IntermediateAnnotation"	"vacuole"	"GOAnnotation"	"11"	"11"	"444"	"2"
"169"	"False"	""	"GO:0031090"	"IntermediateAnnotation"	"organelle membrane"	"GOAnnotation"	"18"	"18"	"1584"	"1"
"170"	"False"	""	"GO:0005764"	"IntermediateAnnotation"	"lysosome"	"GOAnnotation"	"11"	"11"	"395"	"3"
"171"	"False"	""	"GO:0000323"	"IntermediateAnnotation"	"lytic vacuole"	"GOAnnotation"	"11"	"11"	"395"	"3"
"172"	"False"	""	"GO:0005765"	"IntermediateAnnotation"	"lysosomal membrane"	"GOAnnotation"	"4"	"4"	"242"	"2"
"173"	"False"	""	"GO:0098852"	"IntermediateAnnotation"	"lytic vacuole membrane"	"GOAnnotation"	"4"	"4"	"242"	"2"
"174"	"False"	""	"GO:0005770"	"IntermediateAnnotation"	"late endosome"	"GOAnnotation"	"4"	"4"	"201"	"2"
"175"	"False"	""	"GO:0005768"	"IntermediateAnnotation"	"endosome"	"GOAnnotation"	"13"	"13"	"704"	"2"
"176"	"False"	""	"GO:0005802"	"IntermediateAnnotation"	"trans-Golgi network"	"GOAnnotation"	"1"	"1"	"151"	"1"
"177"	"False"	""	"GO:0098791"	"IntermediateAnnotation"	"Golgi apparatus subcompartment"	"GOAnnotation"	"1"	"1"	"183"	"1"
"178"	"False"	""	"GO:0031984"	"IntermediateAnnotation"	"organelle subcompartment"	"GOAnnotation"	"4"	"4"	"592"	"1"
"179"	"False"	""	"GO:0005794"	"IntermediateAnnotation"	"Golgi apparatus"	"GOAnnotation"	"17"	"17"	"789"	"2"
"180"	"False"	""	"GO:0006605"	"IntermediateAnnotation"	"protein targeting"	"GOAnnotation"	"2"	"2"	"79"	"3"
"181"	"False"	""	"GO:0045184"	"IntermediateAnnotation"	"establishment of protein localization"	"GOAnnotation"	"11"	"11"	"564"	"2"
"182"	"False"	""	"GO:0008104"	"IntermediateAnnotation"	"protein localization"	"GOAnnotation"	"13"	"13"	"902"	"1"
"183"	"False"	""	"GO:0070727"	"IntermediateAnnotation"	"cellular macromolecule localization"	"GOAnnotation"	"13"	"13"	"902"	"1"
"184"	"False"	""	"GO:0033036"	"IntermediateAnnotation"	"macromolecule localization"	"GOAnnotation"	"29"	"29"	"1105"	"3"
"185"	"False"	""	"GO:0051641"	"IntermediateAnnotation"	"cellular localization"	"GOAnnotation"	"15"	"15"	"1200"	"1"
"186"	"False"	""	"GO:0007042"	"LeafAnnotation"	"lysosomal lumen acidification"	"GOAnnotation"	"2"	"2"	"17"	"12"
"187"	"False"	""	"GO:0007035"	"IntermediateAnnotation"	"vacuolar acidification"	"GOAnnotation"	"2"	"2"	"27"	"7"
"188"	"False"	""	"GO:0035751"	"IntermediateAnnotation"	"regulation of lysosomal lumen pH"	"GOAnnotation"	"2"	"2"	"19"	"11"
"189"	"False"	""	"GO:0051452"	"IntermediateAnnotation"	"intracellular pH reduction"	"GOAnnotation"	"2"	"2"	"38"	"5"
"190"	"False"	""	"GO:0051453"	"IntermediateAnnotation"	"regulation of intracellular pH"	"GOAnnotation"	"2"	"2"	"66"	"3"
"191"	"False"	""	"GO:0007040"	"IntermediateAnnotation"	"lysosome organization"	"GOAnnotation"	"2"	"2"	"57"	"4"
"192"	"False"	""	"GO:0030641"	"IntermediateAnnotation"	"regulation of cellular pH"	"GOAnnotation"	"2"	"2"	"69"	"3"
"193"	"False"	""	"GO:0065008"	"IntermediateAnnotation"	"regulation of biological quality"	"GOAnnotation"	"52"	"52"	"1574"	"3"
"194"	"False"	""	"GO:0080171"	"IntermediateAnnotation"	"lytic vacuole organization"	"GOAnnotation"	"2"	"2"	"57"	"4"
"195"	"False"	""	"GO:0006885"	"IntermediateAnnotation"	"regulation of pH"	"GOAnnotation"	"2"	"2"	"76"	"3"
"196"	"False"	""	"GO:0007033"	"IntermediateAnnotation"	"vacuole organization"	"GOAnnotation"	"2"	"2"	"89"	"2"
"197"	"False"	""	"GO:0006996"	"IntermediateAnnotation"	"organelle organization"	"GOAnnotation"	"8"	"8"	"972"	"1"
